10,0,0,300,0,0.75
8.629850774,1.370149226,1.698233376,298.3017666,0.32808415,0.42191585
7.285517203,2.714482797,3.061236341,296.9387637,0.346753544,0.403246456
6.095684309,3.904315691,4.271287101,295.7287129,0.36697141,0.38302859
5.055505656,4.944494344,5.333429574,294.6665704,0.388935229,0.361064771
4.165782104,5.834217896,6.247172982,293.752827,0.412955086,0.337044914
3.427009742,6.572990258,7.011175545,292.9888245,0.438185287,0.311814713
2.834303271,7.165696729,7.628636348,292.3713637,0.462939619,0.287060381
2.375112705,7.624887295,8.110512426,291.8894876,0.485625132,0.264374868
2.030284797,7.969715203,8.474627282,291.5253727,0.504912079,0.245087921
1.777798667,8.222201333,8.742410527,291.2575895,0.520209194,0.229790806
1.596561825,8.403438175,8.935340703,291.0646593,0.531902527,0.218097473
1.468276158,8.531723842,9.072187867,290.9278121,0.540464025,0.209535975
1.378405121,8.621594879,9.168205815,290.8317942,0.546610936,0.203389064
1.31601145,8.68398855,9.235158418,290.7648416,0.551169868,0.198830132
1.272924879,8.727075121,9.281608175,290.7183918,0.554533054,0.195466946
1.243199962,8.756800038,9.313652822,290.6863472,0.556852784,0.193147216
1.222636735,8.777363265,9.335615201,290.6643848,0.558251936,0.191748064
1.208430088,8.791569912,9.35063724,290.6493628,0.559067328,0.190932672
1.198687044,8.801312956,9.360950977,290.639049,0.559638021,0.190361979
1.192041454,8.807958546,9.368052614,290.6319474,0.560094068,0.189905932
